Brand,Total Reviews,Rating,Product_Count,SOV_Percent
Claura,50700,3.2249999999999996,8,43.47826086956522
STREET 9,10106,4.335294117647059,17,8.66649515478947
StyleCast x Revolte,6357,4.0,6,5.4515050167224075
CURVY STREET,4911,4.166666666666667,18,4.211474144584512
FASHION DREAM,3311,4.142857142857143,7,2.8393791270045448
KEESOR,3282,4.3500000000000005,6,2.814509904810908
Sangria,2528,4.118181818181818,11,2.1679101277763486
INCLUD,0,0.0,8,0.0
STARWORD,0,0.0,6,0.0
